TIME,SPEED
1698,346.17
2704,345.56
3710,343.38
4716,346.41
5723,346.53
6728,346.29
7734,345.56
8740,343.26
9746,346.41
10753,343.38
11758,346.41
12765,345.80
13770,346.41
14776,345.68
15782,343.38
16788,345.92
17795,343.38
18800,346.53
19807,346.66
20812,343.74
21819,346.41
22824,346.53
23831,345.68
24837,346.41
25842,345.80
26849,343.62
27854,342.66
28861,343.38
29867,343.38
30873,346.29
31879,346.41
32885,346.29
33891,343.38
34897,346.53
35903,346.53
36909,345.44
37915,343.62
38921,342.54
39927,346.29
40933,346.53
41939,346.53
42945,343.38
43952,346.53
44957,346.66
45964,343.26
46969,346.41
47976,345.68
48982,346.41
49987,345.56
50994,346.53
51999,343.38
53006,346.29
54011,346.41
55018,343.38
56024,346.66
57030,346.17
58036,346.53
59041,345.92
60048,346.41
61053,345.56
62060,346.29
63066,346.29
64072,346.29
65078,346.17
66084,346.29
67090,343.14
68097,345.56
69102,346.17
70108,345.56
71114,346.17
72120,346.29
73126,346.17
74132,346.29
75139,346.17
76144,346.17
77151,345.31
78156,346.17
79162,345.56
80168,346.29
81174,345.19
82181,346.17
83186,346.17
84193,346.05
85198,346.17
86205,346.17
87211,346.29
88217,345.07
89223,346.05
90228,345.56
91235,343.50
92240,346.17
93247,345.92
94253,346.05
95259,346.05
96265,346.29
97271,345.31
98277,346.17
99282,342.42
100289,343.38
101295,345.31
102301,346.29
103307,342.42
104313,345.92
105319,345.19
106326,346.17
107331,345.44
108338,343.02
109343,345.19
110350,343.02
111355,345.31
112362,346.17
113368,345.44
114374,346.29
115380,342.66
116386,346.05
117392,345.44
118398,346.17
119404,345.56
120411,346.29
121416,345.44
122423,346.41
123428,342.54
124435,343.26
125442,342.90
126447,346.29
127453,345.56
128459,346.29
129465,345.68
130471,343.62
131477,345.92
132484,346.41
133489,345.68
134496,346.53
135501,345.68
136508,346.53
137513,345.92
138520,346.53
139526,345.80
140532,346.41
141538,345.92
142544,346.66
143550,346.05
144557,346.66
145562,346.29
146569,346.41
147574,346.53
148581,346.41
149586,343.38
150593,346.41
151599,346.41
152605,346.53
153611,346.41
154617,346.41
155623,346.53
156630,346.66
157635,343.50
158642,346.53
159647,346.53
160654,343.38
161659,346.41
162666,346.41
163672,343.50
164678,346.66
165684,346.53
166690,343.50
167696,346.66
168702,346.41
169708,343.50
170715,346.41
171720,346.53
172727,343.50
173732,346.53
174739,343.50
175745,346.66
176751,346.53
177757,343.50
178763,346.53
179769,346.66
180775,346.66
181781,346.53
182788,346.53
183793,346.78
184800,346.78
185805,343.62
186812,343.62
187817,346.66
188824,343.86
189830,343.62
190836,346.53
191842,346.53
192848,343.50
193854,343.50
194861,346.78
195866,346.78
196873,346.66
197878,346.78
198885,343.62
199890,343.86
200897,346.53
201903,346.66
202909,343.62
