TIME,SIGNAL
2,376
3,507
4,609
5,689
6,762
7,811
8,853
9,886
10,911
11,932
12,831
13,658
14,518
15,418
16,325
17,256
18,205
19,160
20,125
21,101
22,210
23,373
24,490
25,598
26,684
27,753
28,802
29,845
30,882
31,909
32,798
33,630
34,496
35,399
36,314
37,245
38,192
39,154
40,121
41,96
42,217
43,379
44,496
45,603
46,688
47,749
48,803
49,847
50,881
51,905
52,787
53,621
54,500
55,391
56,306
57,246
58,192
59,151
60,122
61,96
62,220
63,383
64,500
65,604
66,690
67,750
68,805
69,848
70,883
71,907
72,780
73,615
74,498
75,390
76,306
77,239
78,193
79,150
80,119
81,97
82,232
83,375
84,506
85,610
86,694
87,754
88,808
89,850
90,881
91,908
92,772
93,610
94,493
95,386
96,301
97,242
98,190
99,147
100,119
101,92
102,227
103,378
104,514
105,613
106,691
107,755
108,808
109,852
110,884
111,910
112,776
113,621
114,481
115,384
116,305
117,236
118,187
119,150
120,119
121,92
122,229
123,382
124,517
125,614
126,692
127,761
128,812
129,851
130,883
131,912
132,761
133,610
134,487
135,376
136,299
137,237
138,188
139,147
140,116
141,92
142,250
143,397
144,518
145,615
146,693
147,763
148,813
149,853
150,885
151,911
152,751
153,599
154,478
155,380
156,301
157,233
158,186
159,147
160,118
161,91
162,238
163,403
164,522
165,618
166,696
167,764
168,814
169,854
170,885
171,912
172,753
173,604
174,482
175,372
176,296
177,235
178,188
179,144
180,115
181,91
182,253
183,401
184,520
185,618
186,704
187,765
188,813
189,854
190,885
191,913
192,745
193,595
194,473
195,376
196,291
197,231
198,184
199,146
200,114
201,90
202,265
203,408
204,526
205,621
206,706
207,766
208,815
209,854
210,889
211,912
212,746
213,598
214,464
215,369
216,293
217,233
218,180
219,143
220,114
221,90
222,260
223,406
224,524
225,631
226,707
227,768
228,815
229,855
230,890
231,913
232,740
233,591
234,470
235,362
236,287
237,227
238,180
239,145
240,113
241,88
242,273
243,417
244,532
245,626
246,710
247,770
248,818
249,860
250,891
251,914
252,738
253,575
254,458
255,365
256,289
257,224
258,177
259,142
260,113
261,83
262,263
263,425
264,540
265,632
266,707
267,768
268,822
269,859
270,890
271,915
272,718
273,574
274,457
275,363
276,287
277,228
278,175
279,140
280,112
281,88
282,275
283,417
284,545
285,637
286,710
287,770
288,823
289,861
290,891
291,915
292,717
293,574
294,458
295,354
296,281
297,224
298,178
299,138
300,109
301,96
302,286
303,426
304,540
305,642
306,715
307,774
308,821
309,863
310,894
311,895
312,719
313,575
314,444
315,352
316,280
317,222
318,176
319,139
320,108
321,111
322,287
323,426
324,553
325,643
326,716
327,774
328,827
329,863
330,893
331,897
332,703
333,564
334,449
335,357
336,276
337,219
338,174
339,139
340,107
341,116
342,289
343,429
344,554
345,643
346,716
347,781
348,827
349,863
350,894
351,894
352,700
353,560
354,445
355,352
356,280
357,217
358,171
359,136
360,109
361,111
362,305
363,442
364,554
365,645
366,717
367,782
368,827
369,865
370,897
371,873
372,703
373,562
374,436
375,346
376,275
377,219
378,169
379,135
380,107
381,119
382,309
383,445
384,555
385,645
386,725
387,782
388,827
389,868
390,897
391,871
392,701
393,560
394,433
395,344
396,273
397,217
398,172
399,133
400,105
401,133
402,301
403,454
404,564
405,651
406,724
407,782
408,832
409,868
410,896
411,871
412,683
413,546
414,434
415,345
416,267
417,212
418,167
419,134
420,103
421,144
422,310
423,446
424,568
425,655
426,726
427,783
428,833
429,869
430,898
431,869
432,681
433,545
434,433
435,343
436,266
437,211
438,167
439,134
440,105
441,156
442,321
443,455
444,564
445,653
446,732
447,787
448,832
449,869
450,897
451,847
452,679
453,543
454,433
455,334
456,266
457,211
458,168
459,130
460,104
461,148
462,331
463,464
464,570
465,657
466,734
467,789
468,833
469,870
470,900
471,842
472,678
473,543
474,420
475,334
476,266
