TIME,SIGNAL
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,843
16,844
17,843
18,843
19,844
20,842
21,844
22,842
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,844
31,842
32,843
33,842
34,844
35,843
36,842
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,844
45,842
46,844
47,842
48,843
49,843
50,843
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,843
59,844
60,843
61,842
62,844
63,842
64,844
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,843
73,843
74,843
75,842
76,844
77,842
78,844
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,843
88,843
89,844
90,843
91,843
92,843
93,844
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,844
102,843
103,843
104,843
105,843
106,843
107,843
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,843
116,843
117,843
118,844
119,844
120,843
121,844
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,844
130,844
131,844
132,843
133,843
134,843
135,843
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,842
144,842
145,842
146,842
147,842
148,842
149,842
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,843
159,843
160,842
161,842
162,843
163,842
164,843
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,842
173,842
174,843
175,843
176,843
177,843
178,844
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,844
187,843
188,844
189,844
190,844
191,844
192,844
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,843
201,842
202,843
203,843
204,843
205,844
206,844
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,843
215,842
216,843
217,843
218,842
219,842
220,842
221,841
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,843
230,843
231,843
232,844
233,844
234,844
235,844
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,843
244,843
245,844
246,844
247,844
248,844
249,844
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,844
258,844
259,844
260,843
261,843
262,843
263,842
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,843
272,844
273,843
274,843
275,844
276,844
277,844
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,844
286,844
287,843
288,843
289,842
290,842
291,842
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,843
301,842
302,843
303,843
304,844
305,844
306,844
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,844
315,844
316,844
317,844
318,844
319,844
320,844
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,843
329,844
330,844
331,843
332,844
333,844
334,844
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,844
343,843
344,843
345,842
346,842
347,842
348,843
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,842
357,842
358,843
359,842
360,842
361,843
362,842
363,841
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,842
372,842
373,842
374,842
375,842
376,842
377,842
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,842
386,842
387,842
388,843
389,842
390,843
391,842
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,843
400,842
401,843
402,843
403,842
404,843
405,843
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,844
414,844
415,844
416,844
417,843
418,844
419,844
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,844
428,843
429,844
430,843
431,844
432,844
433,844
434,843
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,844
443,844
444,844
445,844
446,844
447,844
448,843
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,842
457,842
458,843
459,843
460,843
461,843
462,844
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,843
471,843
472,843
473,843
474,843
475,843
476,843
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,844
485,844
486,844
487,844
488,844
489,843
490,843
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,844
500,843
501,844
502,844
503,844
504,844
505,844
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,844
514,843
515,843
516,843
517,843
518,843
519,843
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,844
528,844
529,844
530,844
531,844
532,843
533,843
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,844
542,843
543,843
544,844
545,843
546,843
547,843
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,844
556,843
557,843
558,843
559,843
560,843
561,843
562,842
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,843
571,844
572,844
573,844
574,844
575,843
576,843
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,843
585,843
586,843
587,843
588,843
589,843
590,843
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,843
599,844
600,843
601,844
602,844
603,843
604,844
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,842
613,842
614,843
615,843
616,842
617,843
618,843
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,843
627,843
628,843
629,842
630,843
631,843
632,843
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,843
642,843
643,842
644,843
645,843
646,842
647,842
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,843
656,843
657,843
658,843
659,843
660,842
661,842
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,844
670,844
671,844
672,844
673,843
674,844
675,844
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,843
684,842
685,843
686,843
687,843
688,843
689,843
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,842
698,842
699,842
700,842
701,842
702,843
703,843
704,843
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,843
713,844
714,844
715,844
716,843
717,844
718,844
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,843
727,844
728,844
729,844
730,844
731,844
732,844
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,842
741,843
742,843
743,843
744,843
745,844
746,844
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,843
755,844
756,843
757,843
758,842
759,843
760,843
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,842
769,842
770,842
771,842
772,842
773,842
774,842
775,842
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,843
784,843
785,844
786,844
787,844
788,844
789,843
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,843
798,842
799,842
800,842
801,843
802,842
803,842
804,0
805,0
806,0
807,0
808,0
809,0
810,0
811,843
812,843
813,843
814,843
815,843
816,843
817,843
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,842
826,842
827,843
828,842
829,842
830,842
831,843
832,0
833,0
834,0
835,0
836,0
837,0
838,0
839,0
840,842
841,842
842,842
843,842
844,842
845,843
846,843
847,0
848,0
849,0
850,0
851,0
852,0
853,0
854,843
855,843
856,844
857,844
858,843
859,843
860,843
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,843
869,843
870,843
871,844
872,844
873,844
874,843
875,0
876,0
877,0
878,0
879,0
880,0
881,0
882,843
883,844
884,842
885,843
886,843
887,843
888,843
889,0
890,0
891,0
892,0
893,0
894,0
895,0
896,844
897,843
898,844
899,844
900,844
901,844
902,844
903,0
904,0
905,0
906,0
907,0
908,0
909,0
910,0
911,843
912,843
913,843
914,844
915,844
916,844
917,844
918,0
919,0
920,0
921,0
922,0
923,0
924,0
925,843
926,843
927,843
928,843
929,844
930,844
931,844
932,0
933,0
934,0
935,0
936,0
937,0
938,0
939,843
940,843
941,843
942,843
943,843
944,843
945,843
946,0
947,0
948,0
949,0
950,0
951,0
952,0
953,843
954,843
955,843
956,842
957,842
958,843
959,842
960,0
961,0
962,0
963,0
964,0
965,0
966,0
967,844
968,844
969,844
970,844
971,844
972,844
973,844
974,0
975,0
976,0
977,0
978,0
979,0
980,0
981,0
982,842
983,842
984,842
985,842
986,842
987,842
988,842
989,0
990,0
991,0
992,0
993,0
994,0
995,0
996,844
997,843
998,843
999,844
1000,844
1001,842
1002,843
1003,0
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,842
1011,843
1012,844
1013,843
1014,844
1015,843
1016,842
1017,0
1018,0
1019,0
1020,0
1021,0
1022,0
1023,0
1024,844
1025,842
1026,844
1027,843
1028,843
1029,843
1030,842
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,0
1038,844
1039,842
1040,843
1041,844
1042,842
1043,844
1044,843
1045,842
1046,0
1047,0
1048,0
1049,0
1050,0
1051,0
1052,0
1053,844
1054,843
1055,843
1056,844
1057,843
1058,844
1059,842
1060,0
1061,0
1062,0
1063,0
1064,0
1065,0
1066,0
1067,844
1068,843
1069,843
1070,844
1071,842
1072,843
1073,843
1074,0
1075,0
1076,0
1077,0
1078,0
1079,0
1080,0
1081,844
1082,842
1083,843
1084,843
1085,843
1086,843
1087,842
1088,0
1089,0
1090,0
1091,0
1092,0
1093,0
1094,0
1095,844
1096,843
1097,843
1098,844
1099,843
1100,843
1101,844
1102,0
1103,0
1104,0
1105,0
1106,0
1107,0
1108,0
1109,842
1110,843
1111,843
1112,842
1113,844
1114,843
1115,843
1116,844
1117,0
1118,0
1119,0
1120,0
1121,0
1122,0
1123,0
1124,842
1125,844
1126,843
1127,842
1128,844
1129,842
1130,844
1131,0
1132,0
1133,0
1134,0
1135,0
1136,0
1137,0
1138,843
1139,844
1140,842
1141,843
1142,843
1143,843
1144,843
1145,0
1146,0
1147,0
1148,0
1149,0
1150,0
1151,0
1152,844
1153,843
1154,843
1155,844
1156,842
1157,844
1158,842
1159,0
1160,0
1161,0
1162,0
1163,0
1164,0
1165,0
1166,842
1167,843
1168,843
1169,842
1170,844
1171,842
1172,844
1173,0
1174,0
1175,0
1176,0
1177,0
1178,0
1179,0
1180,0
1181,844
1182,843
1183,842
1184,844
1185,842
1186,844
1187,842
1188,0
1189,0
1190,0
1191,0
1192,0
1193,0
1194,0
1195,843
1196,843
1197,843
1198,844
1199,842
1200,844
1201,842
1202,0
1203,0
1204,0
1205,0
1206,0
1207,0
1208,0
1209,842
1210,844
1211,843
1212,843
1213,843
1214,843
1215,844
1216,0
1217,0
1218,0
1219,0
1220,0
1221,0
1222,0
1223,843
1224,844
1225,842
1226,843
1227,843
1228,842
1229,844
1230,0
1231,0
1232,0
1233,0
1234,0
1235,0
1236,0
1237,842
1238,844
1239,843
1240,843
1241,844
1242,842
1243,844
1244,0
1245,0
1246,0
1247,0
1248,0
1249,0
1250,0
1251,0
1252,842
1253,844
1254,843
1255,844
1256,842
1257,843
1258,843
1259,0
1260,0
1261,0
1262,0
1263,0
1264,0
1265,0
1266,844
1267,842
1268,843
1269,844
1270,843
1271,844
1272,843
1273,0
1274,0
1275,0
1276,0
1277,0
1278,0
1279,0
1280,844
1281,843
1282,843
1283,843
1284,842
1285,844
1286,842
1287,0
1288,0
1289,0
1290,0
1291,0
1292,0
1293,0
1294,843
1295,843
1296,844
1297,842
1298,843
1299,843
1300,843
1301,0
1302,0
1303,0
1304,0
1305,0
1306,0
1307,0
1308,843
1309,843
1310,844
1311,842
1312,843
1313,843
1314,842
1315,0
1316,0
1317,0
1318,0
1319,0
1320,0
1321,0
1322,0
1323,842
1324,843
1325,844
1326,842
1327,844
1328,842
1329,844
1330,0
1331,0
1332,0
1333,0
1334,0
1335,0
1336,0
1337,843
1338,844
1339,842
1340,844
1341,842
1342,844
1343,842
1344,0
1345,0
1346,0
1347,0
1348,0
1349,0
1350,0
1351,844
1352,842
1353,843
1354,843
1355,843
1356,843
1357,843
1358,0
1359,0
1360,0
1361,0
1362,0
1363,0
1364,0
1365,843
1366,842
1367,844
1368,843
1369,843
1370,843
1371,843
1372,0
1373,0
1374,0
1375,0
1376,0
1377,0
1378,0
1379,842
1380,843
1381,843
1382,842
1383,844
1384,842
1385,844
1386,842
1387,0
1388,0
1389,0
1390,0
1391,0
1392,0
1393,0
1394,843
1395,844
1396,842
1397,843
1398,843
1399,843
1400,844
1401,0
1402,0
1403,0
1404,0
1405,0
1406,0
1407,0
1408,842
1409,843
1410,843
1411,842
1412,844
1413,842
1414,843
1415,0
1416,0
1417,0
1418,0
1419,0
1420,0
1421,0
1422,842
1423,844
1424,843
1425,842
1426,843
1427,842
1428,844
1429,0
1430,0
1431,0
1432,0
1433,0
1434,0
1435,0
1436,844
1437,842
1438,844
1439,843
1440,842
1441,844
1442,842
1443,0
1444,0
1445,0
1446,0
1447,0
1448,0
1449,0
1450,842
1451,844
1452,843
1453,843
1454,844
1455,842
1456,844
1457,843
1458,0
1459,0
1460,0
1461,0
1462,0
1463,0
1464,0
1465,844
1466,843
1467,843
1468,843
1469,843
1470,844
1471,842
1472,0
1473,0
1474,0
1475,0
1476,0
1477,0
1478,0
1479,844
1480,843
1481,843
1482,843
1483,842
1484,844
1485,842
1486,0
1487,0
1488,0
1489,0
1490,0
1491,0
1492,0
1493,843
1494,844
1495,842
1496,843
1497,844
1498,842
1499,844
1500,0
1501,0
1502,0
1503,0
1504,0
1505,0
1506,0
1507,843
1508,844
1509,842
1510,843
1511,843
1512,842
1513,844
1514,0
1515,0
1516,0
1517,0
1518,0
1519,0
1520,0
1521,0
1522,843
1523,844
1524,843
1525,843
1526,843
1527,842
1528,844
1529,0
1530,0
1531,0
1532,0
1533,0
1534,0
1535,0
1536,844
1537,842
1538,844
1539,843
1540,843
1541,844
1542,842
1543,0
1544,0
1545,0
1546,0
1547,0
1548,0
1549,0
1550,844
1551,843
1552,843
1553,843
1554,843
1555,844
1556,842
1557,0
1558,0
1559,0
1560,0
1561,0
1562,0
1563,0
1564,843
1565,844
1566,842
1567,843
1568,843
1569,843
1570,844
1571,0
1572,0
1573,0
1574,0
1575,0
1576,0
1577,0
1578,843
1579,843
1580,844
1581,842
1582,844
1583,843
1584,843
1585,0
1586,0
1587,0
1588,0
1589,0
1590,0
1591,0
1592,0
1593,844
1594,842
1595,844
1596,842
1597,843
1598,844
1599,842
1600,0
1601,0
1602,0
1603,0
1604,0
1605,0
1606,0
1607,844
1608,842
1609,843
1610,843
1611,842
1612,844
1613,843
1614,0
1615,0
1616,0
1617,0
1618,0
1619,0
1620,0
1621,843
1622,844
1623,842
1624,844
1625,842
1626,843
1627,843
1628,0
1629,0
1630,0
1631,0
1632,0
1633,0
1634,0
1635,843
1636,842
1637,844
1638,842
1639,843
1640,843
1641,843
1642,0
1643,0
1644,0
1645,0
1646,0
1647,0
1648,0
1649,843
1650,843
1651,844
1652,842
1653,844
1654,842
1655,843
1656,0
1657,0
1658,0
1659,0
1660,0
1661,0
1662,0
1663,0
1664,843
1665,844
1666,842
1667,844
1668,842
1669,843
1670,843
1671,0
1672,0
1673,0
1674,0
1675,0
1676,0
1677,0
1678,844
1679,842
1680,844
1681,843
1682,843
1683,843
1684,842
1685,0
1686,0
1687,0
1688,0
1689,0
1690,0
1691,0
1692,844
1693,842
1694,843
1695,844
1696,842
1697,844
1698,842
1699,0
1700,0
1701,0
1702,0
1703,0
1704,0
1705,0
1706,844
1707,842
1708,844
1709,842
1710,843
1711,843
1712,842
1713,0
1714,0
1715,0
1716,0
1717,0
1718,0
1719,0
1720,844
1721,842
1722,844
1723,842
1724,843
1725,842
1726,843
1727,842
1728,0
1729,0
1730,0
1731,0
1732,0
1733,0
1734,0
1735,842
1736,844
1737,842
1738,843
1739,843
1740,844
1741,843
1742,0
1743,0
1744,0
1745,0
1746,0
1747,0
1748,0
1749,842
1750,844
1751,842
1752,844
1753,843
1754,843
1755,844
1756,0
1757,0
1758,0
1759,0
1760,0
1761,0
1762,0
1763,844
1764,842
1765,843
1766,843
1767,843
1768,843
1769,842
1770,0
1771,0
1772,0
1773,0
1774,0
1775,0
1776,0
1777,844
1778,842
1779,844
1780,842
1781,843
1782,843
1783,843
1784,0
1785,0
1786,0
1787,0
1788,0
1789,0
1790,0
1791,844
1792,842
1793,843
1794,843
1795,842
1796,844
1797,842
1798,843
