TIME,SPEED
1698,341.65
2705,339.03
3712,341.45
4718,338.73
5725,341.15
6731,338.83
7738,338.83
8744,338.73
9751,338.83
10758,341.15
11764,338.93
12771,341.35
13777,339.13
14784,338.83
15791,339.63
16797,341.96
17804,342.06
18810,339.63
19817,341.85
20824,339.43
21830,339.53
22837,339.73
23843,342.26
24850,339.63
25857,342.06
26863,339.73
27870,337.05
28876,341.85
29883,341.65
30889,341.85
31896,339.43
32902,339.43
33908,339.03
34915,339.23
35921,339.03
36928,338.93
37935,336.65
38941,338.93
39948,341.25
40954,341.15
41961,341.35
42968,341.45
43974,339.03
44981,339.13
45987,339.13
46994,339.03
48001,341.45
49007,339.23
50014,339.03
51020,339.03
52027,341.55
53033,341.55
54040,339.33
55047,341.25
56053,341.25
57060,339.03
58066,336.45
59073,341.35
60080,341.35
61086,339.23
62093,339.33
63099,339.43
64106,339.43
65113,341.45
66119,341.45
67126,339.03
68132,339.43
69139,339.43
70146,340.04
71152,339.53
72159,337.14
73165,341.85
74172,339.63
75179,342.06
76185,339.53
77192,339.43
78198,339.63
79205,341.75
80211,339.53
81218,341.65
82225,339.53
83231,339.23
84238,341.65
85244,341.35
86251,341.15
87258,341.15
88264,338.93
89270,338.83
90276,338.93
91283,341.35
92290,339.33
93296,338.93
94303,338.83
95309,338.83
96316,338.83
97323,341.25
98329,341.04
99336,338.73
100342,338.83
101349,341.15
102355,341.35
103362,339.03
104369,339.13
105375,339.03
106383,339.03
107389,341.45
108396,339.13
109403,341.55
110409,339.93
111416,342.06
112422,339.73
113429,339.83
114436,339.73
115442,339.83
116449,341.96
117455,339.63
118462,339.43
119469,339.53
120475,339.73
121482,339.53
122488,338.73
123495,339.13
124502,341.15
125508,339.03
126515,338.83
127521,339.03
128528,339.03
129534,339.13
130541,341.25
131548,339.03
132554,338.83
133561,338.83
134567,341.35
135574,341.15
136581,339.03
137587,338.93
138594,338.93
139600,338.83
140607,338.93
141614,341.15
142620,341.25
143627,341.45
144634,341.35
145641,339.13
146648,339.33
147654,339.63
148661,341.65
149667,341.75
150674,339.33
151681,339.63
152687,341.96
153694,339.53
154700,339.63
155707,342.26
156713,342.26
157720,339.83
158727,339.83
159733,339.83
160740,341.96
161746,339.63
162753,341.25
163760,339.03
164766,338.93
165773,338.83
166779,341.04
167786,338.83
168793,338.83
169799,340.94
170806,338.83
171812,341.15
172819,341.15
173826,338.83
174832,338.93
175839,338.73
176845,338.73
177852,338.93
178859,338.93
179865,338.93
180872,338.83
181878,338.83
182886,338.83
183892,341.04
184899,341.04
185906,339.03
186912,339.33
187919,339.53
188925,341.75
189932,339.23
190939,341.75
191945,339.43
192952,339.43
193958,339.53
194965,339.63
195972,339.53
196978,339.73
197985,339.23
198991,339.13
199998,341.45
201005,339.13
202011,341.35
203018,341.35
