Time,Potentiometer,Voltage
0,0,477
200,0,477
401,0,477
602,0,477
802,0,477
1002,0,477
1203,0,477
1403,0,477
1604,0,477
1805,0,477
2006,0,477
2206,0,477
2407,0,477
2608,0,477
2808,0,477
3009,0,476
3210,0,476
3410,0,477
3611,0,477
3812,0,477
4013,0,477
4213,0,476
4414,0,476
4615,0,476
4815,0,476
5016,0,477
5217,0,476
5417,0,476
5618,0,476
5819,0,476
6020,0,476
6220,0,475
6421,0,475
6622,0,475
6822,0,475
7023,0,475
7224,0,476
7425,0,475
7625,0,475
7826,0,475
8027,0,475
8227,0,475
8428,0,475
8629,0,475
8829,0,475
9030,0,475
9231,0,475
9432,0,475
9632,0,475
9833,0,475
10034,0,474
10234,0,474
10435,0,474
10636,0,474
10836,0,475
11037,0,474
11238,0,475
11439,0,474
11639,0,474
11840,0,474
12041,0,474
12241,0,474
12442,0,474
12643,0,474
12844,0,474
13044,0,474
13245,0,474
13446,0,474
13646,0,474
13847,0,474
14048,0,474
14248,0,474
14449,0,474
14650,0,474
14851,0,474
15051,0,474
15252,0,474
15453,0,475
15653,4,474
15854,27,474
16056,64,474
16257,100,474
16457,141,474
16658,182,473
16859,205,474
17059,209,474
17260,215,474
17461,226,474
17661,239,474
17862,246,474
18064,254,474
18265,253,474
18465,254,474
18666,254,474
18867,254,474
19067,254,474
19268,254,474
19469,254,474
19671,254,474
19871,254,474
20072,253,474
20273,253,474
20473,254,475
20674,254,474
20875,254,473
21075,254,474
21276,254,474
21478,254,474
21679,253,474
21879,254,474
22080,254,474
22281,254,474
22481,253,474
22682,254,474
22883,254,474
23084,254,475
23285,253,474
23486,253,474
23687,253,474
23887,254,474
24088,253,474
24289,253,474
24489,253,474
24690,253,475
24891,254,475
25093,254,475
25293,253,474
25494,253,475
25695,253,474
25895,254,475
26096,253,474
26297,254,475
26498,253,475
26698,253,475
26900,253,474
27101,253,474
27301,253,475
27502,253,475
27703,253,475
27904,254,474
28104,254,474
28305,253,475
28506,253,475
28707,253,475
28908,253,475
29109,253,475
29309,254,475
29510,253,475
29711,253,475
29912,253,474
30112,253,475
30313,254,475
30515,253,475
30715,253,474
30916,253,475
31117,254,475
31318,253,475
31518,253,475
31719,253,475
31920,253,475
32120,254,474
32322,254,475
32523,253,475
32723,253,474
32924,254,475
33125,254,475
33326,253,475
33526,253,475
33727,254,475
33928,253,475
34129,254,475
34330,253,475
34531,253,475
34732,254,475
34932,253,475
35133,254,475
35334,253,475
35534,253,476
35735,253,475
35937,253,475
36137,253,475
36338,253,476
36539,253,475
36740,253,475
36940,253,475
37141,254,475
37342,253,476
37543,253,475
37744,253,475
37945,254,475
38146,254,475
38346,253,475
38547,253,475
38748,253,475
38948,254,475
39149,253,475
39351,253,475
39552,253,475
39752,254,475
39953,254,475
40154,253,475
40354,254,475
40555,254,476
40756,252,475
40956,253,475
41158,253,475
41359,253,475
41560,253,475
41760,253,475
41961,253,475
42162,253,475
42362,253,475
42563,253,475
42764,253,475
42966,254,475
43166,253,475
43367,253,475
43568,253,475
43768,253,475
43969,255,475
44170,254,475
44370,253,476
44571,253,476
44773,262,475
44974,279,475
45174,300,475
45375,324,476
45576,353,476
45776,386,476
45977,402,475
46178,419,476
46379,431,476
46580,431,476
46781,432,476
46982,431,475
47182,432,476
47383,431,476
47584,432,476
47784,431,476
47985,431,476
48186,432,476
48388,431,476
48588,431,476
48789,431,476
48990,432,476
49190,431,476
49391,431,476
49592,431,476
49793,431,476
49994,432,476
50195,431,476
50396,431,476
50596,431,476
50797,431,476
50998,431,476
51198,431,476
51399,431,476
51600,431,476
51802,431,476
52002,431,476
52203,432,476
52404,432,476
52604,431,476
52805,432,476
53006,431,476
53207,431,476
53407,431,476
53609,431,476
53810,431,476
54010,431,476
54211,431,477
54412,431,476
54612,431,477
54813,431,477
55014,431,477
55215,431,477
55416,431,477
55617,431,477
55818,431,477
56018,431,477
56219,431,477
56420,431,477
56621,431,477
56821,431,477
57022,431,478
57224,431,478
57424,431,477
57625,431,477
57826,431,477
58027,431,478
58227,431,478
58428,431,478
58629,431,478
58829,431,478
59031,431,478
59232,431,478
59432,431,478
59633,431,477
59834,432,478
60035,431,478
60235,431,478
60436,431,478
60638,431,477
60838,431,478
61039,431,478
61240,431,478
61441,431,478
61641,432,478
61842,431,478
62043,431,478
62243,431,478
62445,431,478
62646,431,478
62846,431,479
63047,431,477
63248,431,478
63449,431,478
63649,431,478
63850,431,478
64051,431,478
64252,431,478
64453,431,478
64654,431,478
64855,431,478
65055,431,478
65256,431,478
65457,431,478
65657,431,478
65858,431,478
66060,431,477
66260,431,478
66461,431,477
66662,431,478
66863,431,477
67063,431,477
67264,431,478
67465,432,478
67665,431,478
67867,431,478
68068,431,477
68269,431,478
68469,431,478
68670,431,478
68871,431,478
69071,431,478
69272,431,478
69473,431,478
69675,431,477
69875,431,478
70076,431,477
70277,431,477
70477,431,478
70678,431,477
70879,431,478
71079,431,478
71281,431,478
71482,431,478
71683,431,477
71883,431,477
72084,431,477
72285,431,477
72485,431,477
72686,431,477
72887,431,477
73089,431,477
73289,431,477
73490,432,477
73691,431,477
73891,431,477
74092,430,477
74293,431,477
74493,431,477
74694,431,477
74896,431,477
75097,430,477
75297,431,477
75498,431,477
75699,432,477
75899,431,477
76100,431,477
76301,431,478
76502,431,477
76703,431,477
76904,431,477
77105,431,477
77305,431,478
77506,431,477
77707,431,477
77907,431,477
78108,431,477
78310,431,477
78511,431,477
78711,436,478
78912,451,477
79113,469,477
79313,499,477
79514,531,477
79715,567,477
79916,601,477
80117,631,477
80318,672,477
80519,700,478
80719,732,477
80920,762,477
81121,783,477
81321,785,478
81522,785,477
81723,785,478
81925,786,477
82125,786,478
82326,785,477
82527,785,477
82727,785,477
82928,785,478
83129,785,477
83330,785,478
83530,784,478
83732,785,478
83933,785,478
84133,785,478
84334,786,478
84535,785,478
84736,785,478
84936,785,478
85137,786,478
85338,785,478
85539,785,478
85740,785,478
85941,785,478
86141,785,478
86342,785,479
86543,784,479
86744,785,478
86944,784,479
87145,784,479
87347,785,479
87547,784,479
87748,785,479
87949,785,480
88150,785,479
88350,784,480
88551,784,480
88752,785,480
88953,784,480
89154,784,480
89355,784,480
89555,785,480
89756,784,481
89957,784,481
90158,784,481
90358,784,481
90559,784,481
90761,784,481
90961,784,482
91162,784,482
91363,784,482
91564,786,482
91764,784,482
91965,784,482
92166,784,482
92366,784,482
92568,784,482
92769,784,482
92969,785,482
93170,784,483
93371,784,483
93572,784,483
93772,784,483
93973,784,483
94174,784,483
94375,784,483
94576,784,483
94777,784,483
94978,784,484
95178,784,484
95379,784,484
95580,784,484
95780,784,484
95981,784,484
96183,784,484
96384,784,484
96584,784,484
96785,784,484
96986,784,484
97186,786,484
97387,784,484
97588,784,484
97789,784,484
97990,784,484
98191,784,484
98392,784,484
98592,784,484
98793,784,484
98994,784,484
99194,784,484
99395,784,484
99597,784,484
99798,785,484
99998,784,484
100199,784,484
100400,784,485
100600,784,485
100801,784,485
101003,784,485
101203,784,485
101404,784,485
101605,784,485
101806,784,485
102006,784,485
102207,784,485
102409,784,485
102609,784,485
102810,794,485
103011,831,485
103212,862,485
103412,894,485
103614,944,485
103815,964,485
104015,989,486
104216,1015,485
104417,1016,486
104617,1016,486
104819,1016,486
105020,1015,485
105221,1016,486
105421,1016,486
105622,1016,486
105824,1016,485
106024,1017,486
106225,1016,486
106426,1016,486
106627,1019,485
106828,1023,486
107029,1023,486
107230,1023,486
107430,1023,486
107631,1023,486
107833,1023,486
108034,1023,486
108234,1023,486
108435,1023,486
108636,1023,486
108837,1023,486
109038,1023,487
109239,1023,487
109440,1023,488
109640,1023,487
109842,1023,487
110043,1023,487
110243,1023,487
110444,1023,487
110645,1023,487
110846,1023,487
111047,1023,487
111248,1023,488
111449,1023,488
111649,1023,488
111851,1023,488
112052,1023,488
112252,1023,488
112453,1023,489
112654,1023,488
112856,1023,489
113056,1023,489
113257,1023,489
113458,1023,489
113658,1023,489
113860,1023,489
114061,1023,489
114262,1023,489
114462,1023,489
114663,1023,489
114865,1023,490
115065,1023,489
115266,1023,489
115467,1023,489
115667,1023,489
115869,1023,491
116070,1023,490
116271,1023,490
116471,1023,490
116672,1023,490
116874,1023,490
117074,1023,490
117275,1023,490
117476,1023,490
117677,1023,491
117878,1023,489
118079,1023,490
118280,1023,490
118480,1023,490
118681,1023,490
118883,1023,489
119084,1023,490
119284,1023,490
119485,1023,491
119686,1023,490
119887,1023,490
120088,1023,490
120289,1023,490
120489,1023,490
120690,1023,490
120892,1023,490
121093,1023,491
121293,1023,490
121494,1023,490
121695,1023,490
121896,1023,490
122097,1023,491
122298,1023,490
122499,1023,491
122699,1023,490
122901,1023,490
123102,1023,490
123302,1023,490
123503,1023,490
123704,1023,491
123906,1023,490
124106,1023,491
124307,1023,491
124508,1023,490
124708,1023,491
124910,1023,490
125111,1023,491
125312,1023,491
125512,1023,490
125713,1023,491
125915,1023,491
126115,1023,491
126316,1023,491
126517,1023,491
126717,1023,491
126919,1023,491
127120,1023,491
127321,1023,491
127521,1023,491
127722,1023,491
127924,1023,491
128124,1023,492
128325,1023,492
128526,1023,491
128727,1023,492
128928,1023,492
129129,1023,492
129330,1023,492
129530,1023,493
129731,1023,492
129933,1023,492
130134,1023,492
130334,1023,493
130535,1023,492
130736,1023,493
130937,1023,493
131138,1023,492
131339,1023,493
131539,1023,493
131740,1023,492
131942,1023,493
132143,1023,493
132343,1023,493
132544,1023,493
132745,1023,492
132946,1023,493
133147,1023,493
133348,1023,493
133549,1023,493
133750,1023,493
133951,1023,493
134152,1023,493
134352,1023,493
134553,1023,493
134755,1023,493
134956,1023,493
135156,1023,493
135357,1023,493
135558,1023,493
135759,1023,493
135960,1023,493
136161,1023,493
136361,1023,493
136562,1023,493
136764,1023,493
136965,1023,493
137165,1023,493
137366,1023,494
137567,1023,494
137768,1023,494
137969,1023,494
138170,1023,494
138371,1023,493
138571,1023,494
138773,1023,494
138974,1023,494
139174,1023,495
139375,1023,494
139576,1023,495
139778,1023,495
139978,1023,495
140179,1023,495
140380,1023,495
140580,1023,495
140782,1023,495
140983,1023,495
141184,1023,495
141384,1023,495
141585,1022,495
141787,1023,495
141987,1023,495
142188,1023,495
142389,1023,495
142589,1022,495
142791,1001,495
142992,942,496
143193,888,496
143393,830,496
143594,803,496
143795,789,495
143996,789,495
144197,789,495
144398,790,495
144599,790,495
144799,792,495
145000,789,495
145202,790,495
145402,790,495
145603,789,495
145804,790,495
146004,790,495
146205,790,495
146406,790,494
146608,789,494
146808,790,494
147009,790,494
147210,790,494
147410,790,494
147611,790,494
147813,790,494
148014,790,494
148214,790,494
148415,789,493
148616,790,493
148816,790,493
149017,790,493
149219,790,493
149420,790,493
149620,790,493
149821,789,493
150022,790,492
150222,790,493
150424,790,493
150625,789,493
150825,789,492
151026,790,493
151227,790,493
151428,791,493
151628,790,493
151830,789,492
152031,791,493
152231,790,492
152432,790,492
152633,790,494
152834,790,492
153035,790,492
153236,790,492
153437,790,492
153637,790,492
153838,790,492
154039,790,492
154240,790,492
154441,789,492
154642,790,492
154843,791,492
155043,790,492
155244,790,492
155445,790,492
155646,790,493
155847,790,492
156048,790,493
156249,790,492
156449,790,492
156650,789,493
156851,790,493
157052,790,493
157253,790,493
157454,790,492
157655,790,493
157855,790,493
158056,790,493
158258,789,493
158458,790,493
158659,790,493
158860,790,493
159060,790,493
159261,790,493
159462,790,495
159664,790,493
159864,789,494
160065,790,494
160266,790,494
160466,790,494
160667,790,494
160869,790,494
161070,790,494
161270,790,494
161471,790,494
161672,790,494
161872,790,493
162073,790,495
162275,790,495
162476,790,494
162676,790,494
162877,790,494
163078,792,495
163278,790,494
163480,790,494
163681,790,495
163881,790,495
164082,790,494
164283,790,494
164484,790,494
164684,789,494
164886,790,494
165087,790,494
165287,790,494
165488,790,495
165689,791,494
165890,790,494
166091,790,493
166292,790,494
166493,790,493
166693,790,494
166894,790,494
167095,790,493
167296,789,494
167497,790,494
167698,790,493
167899,789,494
168099,790,494
168300,790,494
168501,789,494
168702,790,493
168903,790,494
169104,790,494
169305,790,494
169505,790,494
169706,790,494
169907,790,493
170108,790,494
170309,790,493
