TIME,INTENSITY
1,542
2,543
3,542
4,542
5,540
6,538
7,537
8,533
9,530
10,527
11,523
12,517
13,512
14,507
15,503
16,500
17,495
18,493
19,491
20,486
21,481
22,477
23,474
24,472
25,469
26,467
27,466
28,463
29,459
30,456
31,453
32,452
33,450
34,448
35,449
36,448
37,444
38,442
39,438
40,436
41,433
42,428
43,426
44,424
45,418
46,412
47,407
48,404
49,401
50,397
51,395
52,394
53,391
54,387
55,383
56,380
57,378
58,376
59,374
60,374
61,373
62,369
63,366
64,364
65,363
66,363
67,360
68,361
69,362
70,359
71,357
72,355
73,354
74,355
75,354
76,355
77,358
78,358
79,355
80,354
81,354
82,355
83,355
84,356
85,358
86,359
87,358
88,356
89,355
90,356
91,357
92,357
93,360
94,361
95,360
96,358
97,357
98,358
99,358
100,358
101,360
102,362
103,362
104,360
105,359
106,359
107,362
108,364
109,368
110,372
111,376
112,377
113,378
114,380
115,384
116,387
117,389
118,394
119,398
120,398
121,399
122,400
123,403
124,406
125,407
126,410
127,414
128,416
129,415
130,416
131,417
132,420
133,420
134,422
135,425
136,426
137,426
138,426
139,426
140,427
141,428
142,428
143,430
144,432
145,430
146,429
147,428
148,428
149,429
150,428
151,430
152,431
153,431
154,429
155,428
156,428
157,429
158,428
159,429
160,431
161,431
162,431
163,428
164,427
165,428
166,428
167,428
168,430
169,431
170,429
171,428
172,427
173,426
174,425
175,422
176,422
177,422
178,418
179,414
180,411
181,407
182,407
183,404
184,403
185,403
186,402
187,398
188,395
189,392
190,392
191,391
192,389
193,390
194,390
195,387
196,385
197,383
198,382
199,382
200,380
201,381
202,382
203,380
204,378
205,376
206,375
207,375
208,375
209,375
210,377
211,377
212,375
213,373
214,372
215,373
216,373
217,372
218,374
219,376
220,374
221,372
222,371
223,371
224,371
225,370
226,372
227,374
228,373
229,372
230,370
231,370
232,370
233,370
234,370
235,373
236,373
237,371
238,370
239,369
240,371
241,372
242,373
243,377
244,381
245,380
246,380
247,380
248,382
249,384
250,384
251,388
252,391
253,392
254,391
255,391
256,392
257,394
258,395
259,396
260,400
261,400
262,400
263,399
264,399
265,401
266,402
267,402
268,405
269,407
270,406
271,405
272,405
273,405
274,407
275,406
276,407
277,409
278,408
279,408
280,406
281,405
282,406
283,406
284,407
285,409
286,409
287,407
288,407
289,405
290,406
291,406
292,406
293,408
294,409
295,408
296,406
297,404
298,405
299,406
300,405
301,408
302,409
303,408
304,406
305,405
306,404
307,404
308,404
309,403
310,404
311,404
312,401
313,398
314,397
315,397
316,396
317,394
318,396
319,397
320,394
321,392
322,389
323,389
324,390
325,388
326,389
327,391
328,389
329,387
330,385
331,385
332,385
333,384
334,384
335,386
336,386
337,384
338,383
339,381
340,383
341,384
342,386
343,389
344,392
345,392
346,392
347,392
348,394
349,397
350,397
351,400
352,404
353,404
354,403
355,405
356,405
357,406
358,407
359,409
360,412
361,413
362,412
363,412
364,411
365,414
366,415
367,415
368,418
369,419
370,419
371,418
372,418
373,421
374,424
375,427
376,433
377,439
378,442
379,444
380,448
381,450
382,454
383,458
384,461
385,466
386,468
387,469
388,471
389,472
390,475
391,477
392,479
393,483
394,485
395,485
396,486
397,486
398,488
399,489
400,490
401,492
402,495
403,495
404,495
405,494
406,494
407,494
408,494
409,492
410,493
411,491
412,489
413,486
414,484
415,484
416,483
417,481
418,482
419,482
420,480
421,477
422,475
423,475
424,474
425,473
426,474
427,474
428,473
429,471
430,469
431,468
432,469
433,468
434,468
435,470
436,469
437,468
438,466
439,464
440,462
441,458
442,454
443,452
444,449
445,443
446,437
447,432
448,428
449,425
450,421
451,419
452,418
453,413
454,409
455,405
456,401
457,399
458,396
459,395
460,395
461,393
462,389
463,386
464,383
465,382
466,381
467,379
468,380
469,380
470,377
471,374
472,371
473,371
474,370
475,368
476,369
477,370
478,368
479,365
480,362
481,361
482,361
483,359
484,359
485,361
486,360
487,358
488,355
489,353
490,354
491,354
492,353
493,355
494,356
495,353
496,351
497,349
498,349
499,349
500,348
501,350
502,352
503,350
504,348
505,347
506,346
507,349
508,350
509,353
510,358
511,360
512,360
513,361
514,363
515,366
516,369
517,370
518,375
519,379
520,379
521,380
522,380
523,382
524,385
525,386
526,390
527,394
528,394
529,395
530,395
531,396
532,398
533,399
534,400
535,404
536,405
537,404
538,404
539,405
540,409
541,413
542,416
543,423
544,428
545,430
546,432
547,435
548,439
549,443
550,445
551,451
552,454
553,456
554,457
555,458
556,461
557,463
558,465
559,468
560,471
561,472
562,473
563,474
564,474
565,476
566,478
567,478
568,481
569,483
570,483
571,483
572,483
573,484
574,485
575,485
576,488
577,490
578,489
579,489
580,489
581,490
582,490
583,491
584,492
585,494
586,495
587,494
588,493
589,493
590,494
591,494
592,494
593,496
594,497
595,496
596,496
597,495
598,496
599,497
600,496
601,498
602,501
603,499
604,498
605,497
606,498
607,500
608,501
609,504
610,507
611,509
612,509
613,510
614,511
615,513
616,515
617,515
618,519
619,520
620,520
621,520
622,520
623,522
624,523
625,523
626,525
627,528
628,527
629,527
630,526
631,527
632,528
633,528
634,529
635,531
636,531
637,530
638,530
639,531
640,535
641,538
642,542
643,547
644,551
645,552
646,555
647,557
648,559
649,562
650,563
651,567
652,570
653,570
654,571
655,572
656,573
657,574
658,575
659,577
660,579
661,579
662,579
663,579
664,579
665,581
666,581
667,582
668,584
669,584
670,584
671,583
672,583
673,582
674,581
675,579
676,578
677,578
678,575
679,573
680,571
681,569
682,568
683,566
684,565
685,566
686,563
687,561
688,559
689,558
690,557
691,556
692,555
693,556
694,556
695,554
696,552
697,551
698,551
699,550
700,549
701,550
702,551
703,549
704,548
705,546
706,544
707,542
708,537
709,533
710,530
711,525
712,518
713,512
714,507
715,502
716,497
717,494
718,490
719,487
720,482
721,477
722,472
723,469
724,466
725,461
726,461
727,459
728,455
729,451
730,447
731,445
732,443
733,440
734,439
735,439
736,437
737,434
738,431
739,428
740,426
741,423
742,420
743,419
744,417
745,412
746,408
747,404
748,402
749,400
750,396
751,397
752,396
753,393
754,389
755,386
756,384
757,383
758,381
759,381
760,381
761,380
762,377
763,374
764,373
765,372
766,371
767,370
768,371
769,372
770,369
771,366
772,365
773,365
774,367
775,366
776,369
777,373
778,372
779,371
780,371
781,373
782,374
783,375
784,377
785,380
786,381
787,380
788,380
789,380
790,382
791,383
792,383
793,387
794,389
795,388
796,387
797,386
798,387
799,389
800,388
801,392
802,394
803,393
804,392
805,391
806,392
807,394
808,395
809,397
810,401
811,402
812,402
813,402
814,403
815,406
816,408
817,408
818,412
819,414
820,413
821,413
822,414
823,414
824,416
825,416
826,419
827,422
828,421
829,420
830,420
831,421
832,422
833,422
834,424
835,426
836,427
837,425
838,425
839,423
840,423
841,423
842,420
843,420
844,419
845,416
846,413
847,409
848,408
849,407
850,403
851,405
852,405
853,402
854,398
855,396
856,395
857,394
858,392
859,392
860,393
861,392
862,389
863,387
864,386
865,385
866,385
867,384
868,385
869,386
870,383
871,381
872,379
873,379
874,378
875,375
876,376
877,376
878,373
879,369
880,367
881,365
882,364
883,363
884,362
885,364
886,362
887,359
888,358
889,355
890,355
891,354
892,353
893,355
894,355
895,353
896,350
897,349
898,348
899,349
900,347
901,349
902,351
903,348
904,346
905,345
906,344
907,346
908,345
909,346
910,350
911,350
912,349
913,348
914,347
915,349
916,350
917,351
918,353
919,354
920,353
921,352
922,351
923,352
924,354
925,352
926,356
927,359
928,357
929,356
930,354
931,355
932,356
933,356
934,357
935,360
936,359
937,358
938,357
939,356
940,358
941,359
942,360
943,364
944,365
945,343
946,331
947,356
948,353
949,335
950,359
951,364
952,343
953,377
954,376
955,375
956,376
957,377
958,378
959,380
960,383
961,383
962,382
963,381
964,381
965,383
966,384
967,384
968,387
969,388
970,387
971,386
972,385
973,386
974,386
975,385
976,387
977,389
978,387
979,385
980,383
981,383
982,383
983,382
984,383
985,385
986,384
987,382
988,380
989,379
990,380
991,379
992,377
993,380
994,381
995,378
996,377
997,375
998,376
999,376
1000,375
1001,377
1002,378
1003,377
1004,375
1005,374
1006,374
1007,375
1008,375
1009,376
1010,379
1011,380
1012,378
1013,377
1014,377
1015,379
1016,379
1017,380
1018,382
1019,384
1020,383
1021,382
1022,381
1023,382
1024,383
1025,382
1026,385
1027,388
1028,387
1029,385
1030,384
1031,384
1032,386
1033,385
1034,387
1035,390
1036,389
1037,388
1038,387
1039,388
1040,393
1041,398
1042,403
1043,410
1044,416
1045,420
1046,424
1047,429
1048,433
1049,439
1050,442
1051,448
1052,453
1053,456
1054,458
1055,461
1056,464
1057,468
1058,470
1059,474
1060,478
1061,480
1062,480
1063,482
1064,484
1065,486
1066,487
1067,489
1068,492
1069,494
1070,494
1071,495
1072,496
1073,500
1074,506
1075,509
1076,515
1077,521
1078,524
1079,526
1080,529
1081,532
1082,536
1083,538
1084,541
1085,545
