TIME,SPEED
1707,343.91
2720,343.87
3734,344.51
4749,344.54
5763,345.56
6776,344.57
7790,344.54
8805,343.87
9819,344.57
10832,345.43
11846,344.38
12861,344.67
13875,344.67
14888,343.62
15903,345.27
16917,345.43
17931,343.65
18946,344.48
19959,343.78
20973,344.60
21987,344.38
23002,344.70
24015,343.05
25029,344.54
26044,344.80
27058,344.80
28071,344.60
29086,344.00
30100,345.66
31114,345.66
32128,344.45
33142,344.73
34156,343.87
35170,344.48
36185,343.94
37198,345.63
38212,343.72
39227,343.97
40241,344.80
41254,343.75
42269,344.64
43283,345.63
44297,345.56
45310,345.24
46325,344.83
47339,342.36
48353,344.60
49368,345.66
50381,344.80
51395,344.80
52409,345.40
53424,344.00
54437,345.63
55451,345.47
56466,344.73
57480,345.69
58493,345.69
59507,343.87
60522,345.69
61536,344.86
62550,345.53
63564,344.06
64573,669.78
65580,918.49
66594,345.08
67608,344.96
68622,345.59
69637,344.76
70650,344.86
71664,345.82
72678,342.45
73693,341.92
74706,345.88
75720,345.75
76735,345.11
77749,344.32
78763,344.80
79776,345.63
80791,345.88
81805,345.08
82819,344.10
83833,345.91
84847,344.29
85861,344.92
86876,342.67
87889,345.95
88903,345.91
89917,345.63
90932,343.49
91945,341.92
92959,345.69
93974,345.08
94988,345.98
96002,345.05
97015,345.72
98030,345.91
99044,345.95
100058,345.72
101072,344.92
102086,345.98
103100,345.79
104114,345.75
105128,345.98
106142,343.53
107156,344.92
108171,345.88
109185,345.15
110198,345.75
111213,345.95
112227,345.85
113241,344.92
114255,345.88
115269,345.95
116283,346.56
117298,345.75
118311,345.08
119325,344.83
120340,344.64
121354,343.97
122368,345.37
123382,342.39
124396,343.97
125410,344.51
126425,343.78
127438,345.43
128453,341.39
129467,344.83
130481,344.10
131495,344.70
132509,344.92
133523,344.67
134538,344.86
135552,344.99
136565,344.73
137580,345.59
138594,345.82
139608,345.82
140622,344.00
141636,344.92
142650,344.92
143665,345.53
144678,344.89
145692,344.80
146707,343.97
147721,344.89
148734,345.59
149749,343.91
150763,344.86
151777,343.81
152792,344.00
153805,343.94
154819,342.08
155834,343.84
156848,344.60
157862,341.36
158876,344.60
159890,342.99
160905,345.50
161918,344.86
162932,343.05
163947,344.73
164961,345.56
165975,344.64
166989,345.63
168003,345.59
169017,345.40
170032,344.00
171045,343.97
172059,343.68
173074,344.64
174088,344.60
175101,343.53
176116,344.57
177130,343.78
178144,345.18
179159,344.67
180172,345.40
181186,345.37
182201,345.56
183215,343.94
184228,343.75
185243,341.58
186257,343.62
187272,344.64
188285,344.60
189299,344.35
190314,343.81
191328,344.60
192342,343.62
193356,343.68
194370,343.75
195385,342.14
196399,343.68
197412,342.01
198427,344.64
199441,343.78
200455,344.35
201469,344.60
202483,343.75
203497,345.15
204512,344.60
