TIME,SPEED
1699,350.72
2706,351.34
3713,352.87
4719,352.87
5726,350.62
6732,352.98
7739,350.62
8745,351.23
9752,352.98
10759,351.23
11765,353.59
12772,351.34
13778,351.23
14785,353.49
15792,351.23
16798,353.49
17805,351.34
18811,351.13
19818,352.98
20825,350.62
21831,350.72
22838,350.72
23844,350.62
24851,352.87
25858,350.62
26864,350.52
27871,350.52
28877,350.62
29885,350.42
30892,352.87
31898,351.13
32905,351.34
33911,351.03
34918,351.23
35924,353.49
36931,353.59
37938,353.39
38944,351.13
39951,351.03
40957,350.62
41964,350.52
42971,350.42
43977,352.87
44984,352.87
45990,350.62
46997,352.87
48004,350.52
49010,350.52
50017,350.52
51024,350.52
52031,352.77
53038,351.13
54044,351.23
55051,351.13
56057,351.23
57064,353.49
58071,353.70
59077,351.13
60084,353.70
61090,351.34
62097,350.62
63104,350.72
64110,350.62
65117,352.98
66123,350.62
67130,352.98
68136,352.87
69143,350.72
70150,350.52
71156,350.62
72164,350.62
73170,352.98
74177,353.59
75184,351.13
76190,351.13
77197,351.13
78203,353.49
79210,351.23
80217,351.34
81223,351.13
82230,350.72
83236,352.98
84243,350.72
85250,350.62
86256,350.62
87263,350.62
88269,352.98
89276,352.87
90283,350.62
91289,348.00
92297,350.52
93303,351.23
94310,351.23
95316,351.34
96323,353.49
97330,351.34
98336,351.34
99343,353.59
100349,351.23
101356,350.72
102363,352.98
103369,352.87
104376,352.98
105382,350.62
106389,352.98
107396,352.87
108403,352.98
109410,351.13
110416,353.49
111423,351.23
112430,351.23
113436,350.62
114443,350.62
115449,350.52
116456,352.98
117463,352.98
118470,350.62
119477,353.59
120483,351.23
121490,351.34
122497,351.23
123503,351.13
124510,350.62
125516,352.87
126523,350.72
127529,352.87
128536,350.62
129544,350.62
130550,351.34
131557,353.49
132563,353.49
133570,351.34
134577,351.23
135583,352.98
136590,350.62
137596,350.83
138603,352.98
139610,350.72
140617,350.72
141624,353.59
142630,353.49
143637,353.59
144644,351.23
145650,353.59
146657,350.72
147663,350.62
148670,350.72
149677,353.08
150683,352.98
151690,353.08
152696,353.08
153704,353.08
154711,353.70
155717,351.34
156724,351.34
157730,351.34
158737,353.08
159744,353.08
160750,352.98
161757,350.72
162763,350.72
163770,352.98
164777,350.72
165784,351.34
166791,351.23
167797,353.59
168804,353.49
169810,353.59
170817,352.98
171824,350.72
172830,350.72
173837,352.98
174843,350.72
175850,350.62
176858,352.87
177864,353.49
178871,353.59
179877,351.23
180884,353.49
181891,350.62
182897,352.87
183904,350.62
184910,352.87
185917,350.72
186924,353.08
187931,352.87
188938,351.23
189944,351.13
190951,351.23
191958,351.23
192964,352.87
193971,350.62
194977,350.52
195984,350.72
196990,350.62
197997,352.98
199005,352.87
200011,351.23
201018,353.59
202024,351.34
203031,353.59

