TIME,SPEED
1701,327.06
2710,325.69
3719,325.35
4727,326.66
5737,327.06
6746,324.21
7754,327.06
8763,326.77
9772,326.66
10781,326.95
11790,325.57
12798,325.57
13807,323.93
14817,324.27
15825,325.69
16834,323.87
17844,326.66
18852,327.12
19861,327.12
20870,323.99
21879,328.10
22888,324.21
23897,327.00
24905,326.72
25915,328.04
26924,325.63
27932,328.33
28941,326.60
29950,324.21
30959,328.33
31968,324.21
32976,326.60
33986,325.52
34995,325.57
36003,324.27
37012,325.17
38022,325.57
39030,325.57
40039,325.23
41049,325.35
42057,327.00
43066,325.63
44075,325.35
45084,326.72
46093,325.69
47101,326.95
48110,325.29
49120,325.57
50128,324.21
51137,328.39
52146,323.87
53155,326.95
54164,325.52
55173,328.33
56181,323.87
57191,325.57
58200,327.00
59208,326.66
60217,326.72
61227,327.06
62235,327.00
63244,327.00
64252,326.60
65262,327.00
66271,325.57
67279,324.21
68288,325.23
69298,327.00
70306,325.57
71315,325.17
72325,325.23
73333,326.95
74342,326.95
75351,326.60
76359,326.60
77369,325.69
78377,327.00
79386,326.66
80396,323.87
81404,328.45
82413,325.63
83422,323.93
84431,325.46
85440,324.21
86449,324.27
87457,325.40
88467,327.00
89476,327.06
90484,325.63
91493,326.66
92503,325.69
93511,324.32
94520,324.04
95528,326.72
96538,325.63
97547,327.06
98555,323.93
99565,324.27
100574,328.39
101582,325.57
102591,323.93
103601,327.00
104609,327.06
105618,326.66
106628,325.63
107636,328.45
108645,325.35
109655,325.35
110663,325.57
111672,325.63
112680,326.60
113690,324.27
114699,327.00
115707,325.29
116717,327.06
117726,327.00
118734,323.93
119744,325.35
120753,327.06
121761,327.00
122770,326.66
123780,325.63
124788,325.57
125797,325.35
126807,327.00
127815,324.32
128824,326.60
129833,326.72
130842,327.00
131851,327.00
132859,325.23
133869,326.89
134878,326.95
135886,326.66
136896,327.98
137905,326.89
138913,324.15
139923,323.82
140932,324.10
141940,324.15
142949,326.66
143959,324.21
144967,324.10
145976,325.12
146985,326.89
147994,328.33
149003,326.66
150012,327.00
151021,325.57
152030,326.66
153039,325.23
154048,324.21
155057,326.83
156065,326.60
157075,326.89
158084,324.21
159092,325.17
160102,326.89
161111,324.21
162119,325.12
163129,324.15
164137,327.00
165146,325.23
166156,326.60
167164,324.15
168173,326.60
169183,323.87
170191,325.57
171200,325.57
172209,326.60
173218,324.21
174227,328.33
175236,326.72
176245,327.00
177254,324.21
178263,323.87
179272,325.63
180281,324.21
181289,325.23
182299,326.66
183308,324.32
184316,325.57
185325,325.29
186335,327.06
187343,328.45
188352,325.35
189362,324.27
190370,327.00
191379,323.87
192389,327.00
193397,327.00
194406,325.63
195415,326.66
196424,327.00
197433,324.27
198441,326.66
199451,324.32
200460,327.00
201468,328.04
202478,324.32
203487,327.12
