TIME1,BRIGHTNESS1
0,425
1,424
3,421
4,419
6,418
7,426
9,425
10,414
12,416
13,417
15,426
17,420
26,418
34,417
43,418
51,416
59,416
67,416
75,416
83,418
93,420
101,417
110,411
119,411
129,413
138,413
147,416
156,419
166,418
176,412
185,410
194,410
203,411
212,411
222,412
232,416
241,418
250,412
260,411
269,407
278,411
287,412
297,411
307,417
316,417
325,413
334,410
344,409
353,411
363,411
372,413
381,416
391,419
400,418
409,412
418,412
429,412
438,415
447,414
456,418
465,424
475,419
484,417
494,411
503,415
513,422
522,416
531,424
540,424
549,421
560,422
569,415
578,421
587,418
596,419
606,425
615,429
625,434
634,420
644,422
653,422
662,423
671,424
680,424
691,434
700,426
709,425
718,424
728,421
737,431
746,419
755,428
765,434
775,428
784,428
793,421
802,424
812,425
821,424
831,429
840,428
849,432
859,424
868,423
877,425
886,422
897,427
906,422
915,430
924,430
933,424
943,426
952,417
962,423
971,421
980,422
990,430
999,426
1008,425
1018,418
1030,420
1040,424
1050,420
1060,414
1071,414
1081,423
1092,422
1102,417
1113,418
1123,422
1133,418
1143,413
1154,414
1165,418
1175,415
1185,408
1196,415
1206,418
1216,416
1227,410
1238,413
1248,417
1258,415
1268,408
1278,411
1290,414
1300,415
1310,408
1320,412
1331,414
1341,415
1351,409
1362,411
1373,415
1383,415
1393,409
1403,413
1414,416
1425,417
1435,410
1445,413
1456,415
1466,416
1476,411
1486,414
1498,416
1508,418
1518,416
1528,418
1539,419
1549,421
1560,416
1570,417
1581,419
1591,422
1601,415
1611,419
1623,424
1633,429
1643,421
1653,421
1664,423
1674,426
1684,419
1695,419
1705,421
1716,429
1726,425
1736,427
1746,429
1758,432
1768,423
1778,424
1788,423
1799,428
1809,421
1819,423
1830,427
1841,433
1851,428
1861,426
1871,425
1882,430
1893,421
1903,423
1913,420
1924,429
1934,424
1944,427
1955,427
1966,432
1976,423
1986,421
1996,419
2007,426
2017,419
2028,416
2038,420
2049,429
2059,423
2069,419
2079,417
2091,426
2101,416
2111,415
2121,414
2131,423
2142,415
2152,417
2163,415
2173,424
2184,415
2194,413
2204,412
2214,420
2226,412
2236,410
2246,408
2256,421
2267,413
2277,409
2288,409
2298,417
2309,410
2319,408
2329,409
2339,417
2350,410
2361,409
2371,409
2381,415
2392,412
2402,408
2412,408
2423,416
2434,411
2444,407
2454,409
2464,415
2475,414
2485,409
2496,412
2506,419
2516,413
2527,409
2537,411
2547,418
2558,416
2569,411
2579,418
2589,423
2599,419
2610,414
2621,416
2631,421
2641,417
2652,412
2662,414
2672,423
2682,423
2694,421
2704,422
2714,425
2724,423
2735,416
2745,418
2756,423
2766,420
2777,419
2787,424
2797,428
2807,428
2818,422
2829,422
2839,425
2849,424
2860,418
2870,420
2880,426
2891,428
2902,423
2912,428
2922,429
2932,426
2942,419
2954,421
2964,423
2974,421
2984,419
2995,423
3005,426
3015,430
3026,422
3037,421
3047,421
3057,423
3067,416
3078,417
3089,417
3099,423
3109,420
3120,420
3130,421
3140,422
3150,415
3162,414
3172,415
3182,419
3192,411
3203,414
3213,418
3224,423
3234,412
3245,413
3255,413
3265,418
3275,410
3287,412
3297,410
3307,416
3317,411
3328,412
3338,412
3348,417
3359,411
3369,410
3380,412
3390,417
3400,411
3410,411
3422,412
3432,419
3442,413
3452,411
3463,412
3473,421
3483,413
3494,413
3505,413
3515,421
3525,414
3535,416
3546,415
3557,424
3567,416
3577,417
3588,414
3598,424
3608,417
3619,416
3630,416
3640,430
3650,422
3660,421
3671,421
3681,429
3692,423
3702,420
3713,419
3723,425
3733,426
3743,425
3755,428
3765,435
3775,428
3785,425
3795,424
3806,432
3816,424
3827,421
3837,425
3848,435
3858,432
3868,428
3878,427
3890,434
3900,428
3910,423
3920,424
3931,429
3941,427
3952,427
3962,430
3973,436
3983,430
3993,424
4003,426
4014,430
4025,426
4035,418
4045,424
4056,432
4066,431
4076,426
4087,426
4098,430
4108,426
4118,419
4128,421
4139,425
4149,422
4160,418
4170,425
4180,428
4191,425
4201,418
4211,419
4222,424
4233,419
4243,415
4253,416
4263,420
4274,423
4285,415
4295,416
4305,420
4316,418
4326,412
4336,415
4346,417
4358,417
4368,410
4378,414
4388,417
4399,417
4409,411
4420,414
4430,414
4441,415
4451,411
4461,413
4471,414
4482,418
4493,412
4503,413
4513,415
4524,417
4534,412
4544,414
4555,416
4566,417
4576,412
4586,413
4596,418
4606,421
4618,414
4628,416
4638,417
4648,421
4659,414
4669,416
4679,417
4690,425
4701,422
4711,422
4721,421
4731,427
4742,420
4753,420
4763,422
4773,426
4784,419
4794,423
4804,425
4814,433
4826,426
4836,426
4846,425
4856,431
4867,423
4877,422
4888,421
4898,433
4909,428
4919,429
4929,429
4939,436
4951,427
4961,426
4971,424
4981,431
4992,423
5002,425
5012,427
5023,437
5033,432
5044,427
5054,427
5064,432
5074,425
5086,422
5096,420
5106,432
5116,427
5127,427
5137,427
5147,434
5158,424
5169,423
5179,420
5189,429
5199,422
5210,418
5221,421
5231,430
5241,424
5252,419
5262,418
5272,427
5283,419
5294,416
5304,416
5314,422
5324,417
5335,418
5345,417
5356,423
5366,417
5377,412
5387,414
5397,419
5407,415
5419,411
5429,412
5439,421
5449,417
5459,412
5470,413
5480,417
5491,415
5501,410
5512,412
5522,418
5532,413
5542,412
5554,413
5564,418
5574,415
5584,411
5595,414
5605,417
5616,415
5626,410
5637,415
5647,418
5657,420
5667,413
5678,418
5689,420
5699,420
5709,414
5720,417
5730,421
5740,419
5751,416
5762,425
5772,426
5782,425
5792,419
5803,421
5813,423
5824,424
5834,418
5844,419
5855,426
5865,429
5875,425
5886,427
5897,428
5907,429
5917,422
5927,423
5938,426
5949,427
5959,426
5969,429
5980,432
5990,435
6000,427
6010,427
6022,427
6032,429
6042,423
6052,424
6063,427
6073,433
6084,428
6094,431
6105,430
6115,431
6125,424
6135,424
6146,424
6157,426
6167,422
6177,426
6188,427
6198,434
6208,426
6219,424
6230,423
6240,428
6250,420
6260,420
6270,417
6282,426
6292,424
6302,422
6312,420
6323,427
6333,419
6343,416
6354,416
6365,424
6375,415
6385,413
6395,418
6406,425
6417,416
6427,416
6437,413
6448,423
6458,414
6468,413
6478,413
6490,420
6500,415
6510,413
6520,412
6531,421
6541,413
6552,412
6562,410
6573,420
6583,413
6593,411
6603,412
6615,420
6625,414
6635,411
6645,414
6656,421
6666,416
6676,413
6687,413
6697,420
6708,416
6718,417
6728,417
6738,425
6750,419
6760,417
6770,416
6780,424
6791,419
6801,414
6811,419
6822,429
6833,426
6843,420
6853,423
6863,427
6874,423
6885,419
6895,420
6905,425
6916,425
6926,424
6936,430
6947,433
6958,429
6968,425
6978,424
6988,428
6999,426
7009,420
7020,428
7030,433
7041,432
7051,428
7061,430
7071,431
7083,428
7093,423
7103,424
7113,429
7123,431
7134,427
7144,431
7155,434
7165,431
7176,425
7186,426
7196,427
7206,426
7218,420
7228,424
7238,429
7248,432
7259,425
7269,425
7280,428
7290,426
7301,420
7311,420
7321,422
7331,421
7342,418
7353,424
7363,425
7373,425
7384,418
7394,418
7404,419
7415,420
7426,414
7436,415
7446,416
7456,423
7467,416
7477,415
7488,417
7498,419
7508,413
7519,413
7529,415
7539,418
7550,411
7561,414
7571,413
7581,418
7591,412
7602,412
7613,413
7623,419
7633,411
7644,413
7654,412
7664,422
7674,413
7686,415
7696,413
7706,421
7716,414
7727,415
7737,413
7748,420
7758,415
7769,417
7779,418
7789,426
7799,418
7810,416
7821,416
7831,426
7841,418
7852,416
7862,416
7872,428
7883,425
7894,424
7904,422
7914,429
7924,422
7934,420
7946,420
7956,430
7966,421
7976,422
7987,425
7997,438
8007,429
8018,426
8029,425
8039,433
8049,424
8059,422
8070,424
8081,435
8091,429
8101,427
8112,431
8122,436
8132,429
8142,425
8154,425
8164,431
8174,424
8184,424
8195,428
8205,436
8216,431
8226,426
8237,426
8247,431
8257,425
8267,421
8279,420
8289,428
8299,428
8309,424
8320,427
8330,430
8340,424
8351,419
8361,421
8372,425
8382,421
8392,415
8402,420
8414,428
8424,423
8434,417
8444,420
8455,423
8465,419
8475,413
8486,417
8497,418
8507,415
8517,416
8527,417
8538,419
8549,417
8559,412
8569,414
8580,418
8590,417
8600,412
8611,413
8622,416
8632,418
8642,410
8652,414
8663,415
8673,416
8684,411
8694,414
8705,417
8715,418
8725,412
8735,415
8747,416
8757,418
8767,413
8777,415
8787,417
8798,418
8808,413
8819,414
8829,418
8840,424
8850,418
8860,419
8870,421
8882,424
8892,416
8902,419
8912,418
8923,424
8933,419
8944,423
8954,427
8965,430
8975,423
8985,423
8995,423
9006,428
9017,421
9027,421
9037,426
9048,434
9058,429
9068,428
9079,427
9090,432
9100,423
9110,424
9120,423
9131,429
9141,426
9152,427
9162,430
9172,438
9183,428
9193,427
9203,425
9214,432
9225,424
9235,421
9245,424
9255,434
9266,429
9277,429
9287,427
9297,434
9308,425
9318,422
9328,421
9338,428
9350,422
9360,422
9370,423
9380,432
9391,424
9401,420
9412,420
9422,428
9433,418
9443,416
9453,414
9463,426
9474,424
9485,417
9495,416
9505,424
9516,418
9526,413
9536,415
9547,421
9558,415
9568,408
9578,416
9588,421
9598,415
9610,411
9620,413
9630,419
9640,414
9651,410
9661,412
9671,417
9682,416
9693,411
9703,413
9713,417
9723,415
9734,409
9745,413
9755,417
9765,415
9776,409
9786,414
9796,418
9806,416
9818,411
9828,414
9838,419
9848,417
9859,411
9869,415
9880,418
9890,420
9901,418
9911,420
9921,423
9931,421
9943,417
9953,419
9963,421
9973,422
9984,415
9994,421
10004,429
10016,420
10028,424
10039,428
10050,420
10061,424
10073,426
10085,424
10096,428
10107,425
10119,431
10130,429
10142,425
10153,426
10165,429
10176,428
10187,424
10199,429
10211,428
10222,432
10233,429
10245,424
10256,432
10267,427
10279,426
10291,431
10302,425
10313,430
10324,428
10336,424
10348,432
10359,420
10371,425
10382,430
10393,421
10404,429
10417,423
10428,421
10439,432
10450,417
10462,421
10474,423
10485,418
10497,427
10508,416
10519,420
10530,427
10543,414
10554,416
10565,417
10576,415
10588,424
10599,415
10611,417
10622,422
10634,412
10645,413
10656,417
10668,413
10680,416
10691,412
10702,413
10714,419
10725,410
10736,408
10748,416
10760,412
10771,415
10782,415
10793,414
10805,419
10817,411
10828,412
10840,418
10851,414
10862,415
10874,417
10886,416
10897,423
10908,417
10919,414
10931,422
10943,412
10954,418
10966,421
10977,417
10988,426
10999,418
11012,419
11023,429
11034,416
11045,422
11057,424
11068,420
11080,431
11091,418
11103,424
11114,431
11125,419
11137,428
11149,426
11160,425
11171,433
11183,422
11194,429
11205,431
11217,423
11229,429
11240,426
11251,428
11262,430
11275,426
11286,431
11297,432
11309,427
11320,425
11331,428
11343,430
11355,424
11366,428
11377,427
11388,431
11400,426
11412,419
11423,427
11435,424
11446,425
11457,425
11468,420
11481,430
11492,424
11503,417
11514,427
11526,418
11537,422
11549,424
11560,418
11572,426
11583,414
11594,416
11607,423
11618,413
11629,417
11640,417
11652,416
11663,422
11675,412
11686,414
11698,420
11709,411
11720,416
11731,415
11744,413
11755,420
11766,411
11778,413
11789,419
11800,409
11812,412
11824,416
11835,413
